Country,GDP per capita,Life Satisfaction
Poland,14997.6,6.1
Mexico,15314,6.5
Norway,19919.7,7.6
Hungary,22576,5.6
Latvia,23683,5.9
Lithuania,24287,5.9
Estonia,24336,5.7
New Zealand,24841.8,7.3
Czech Republic,25372,6.7
Chile,25879,6.5
Greece,26064,5.4
Netherlands,29763.9,7.4
OECD - Total,32707.20743,6.5
United States,32973.04334,6.9
United Kingdom,33238.87926,6.8
Turkey,33504.71517,5.5
Switzerland,33770.55108,7.5
Sweden,34036.387,7.3
Spain,34302.22291,6.3
Slovenia,34568.05882,5.9
Korea,35191,5.9
Italy,36658,6
Japan,40863,5.9
Finland,42964,7.6
France,43755,6.5
Canada,47622,7.4
Ireland,47653,7
Australia,49126,7.3
Belgium,49675,6.9
Austria,50349,7.1
Denmark,51466,7.6
Poland,61787,7.5
Mexico,63062,6.9